State,Year,Quarter,Level,EntityName,Count,Amount
andaman-&-nicobar-islands,2020,2,district,nicobars,3,565.0
andaman-&-nicobar-islands,2020,2,district,south andaman,3,795.0
andaman-&-nicobar-islands,2020,2,pincode,744301,3,565.0
andaman-&-nicobar-islands,2020,2,pincode,744104,2,513.0
andaman-&-nicobar-islands,2020,2,pincode,744101,1,282.0
andaman-&-nicobar-islands,2020,3,district,south andaman,35,13651.0
andaman-&-nicobar-islands,2020,3,district,nicobars,5,1448.0
andaman-&-nicobar-islands,2020,3,district,north and middle andaman,1,281.0
andaman-&-nicobar-islands,2020,3,pincode,744112,9,3432.0
andaman-&-nicobar-islands,2020,3,pincode,744105,7,3948.0
andaman-&-nicobar-islands,2020,3,pincode,744101,5,2194.0
andaman-&-nicobar-islands,2020,3,pincode,744206,4,1620.0
andaman-&-nicobar-islands,2020,3,pincode,744107,3,1095.0
andaman-&-nicobar-islands,2020,3,pincode,744103,3,947.0
andaman-&-nicobar-islands,2020,3,pincode,744302,3,562.0
andaman-&-nicobar-islands,2020,3,pincode,744211,2,101.0
andaman-&-nicobar-islands,2020,3,pincode,744301,2,886.0
andaman-&-nicobar-islands,2020,3,pincode,744102,2,314.0
andaman-&-nicobar-islands,2020,4,district,south andaman,109,137494.0
andaman-&-nicobar-islands,2020,4,district,north and middle andaman,13,17734.0
andaman-&-nicobar-islands,2020,4,district,nicobars,2,2747.0
andaman-&-nicobar-islands,2020,4,pincode,744105,25,25659.0
andaman-&-nicobar-islands,2020,4,pincode,744101,23,29686.0
andaman-&-nicobar-islands,2020,4,pincode,744103,18,24904.0
andaman-&-nicobar-islands,2020,4,pincode,744102,17,25073.0
andaman-&-nicobar-islands,2020,4,pincode,744112,8,10459.0
andaman-&-nicobar-islands,2020,4,pincode,744106,6,4840.0
andaman-&-nicobar-islands,2020,4,pincode,744204,6,11659.0
andaman-&-nicobar-islands,2020,4,pincode,744104,4,10271.0
andaman-&-nicobar-islands,2020,4,pincode,744206,3,100.0
andaman-&-nicobar-islands,2020,4,pincode,744205,3,5235.0
andaman-&-nicobar-islands,2021,1,district,south andaman,164,167044.0
andaman-&-nicobar-islands,2021,1,district,north and middle andaman,48,63978.0
andaman-&-nicobar-islands,2021,1,district,nicobars,13,13244.0
andaman-&-nicobar-islands,2021,1,pincode,744105,47,53060.0
andaman-&-nicobar-islands,2021,1,pincode,744103,35,39985.0
andaman-&-nicobar-islands,2021,1,pincode,744101,33,24571.0
andaman-&-nicobar-islands,2021,1,pincode,744204,25,29635.0
andaman-&-nicobar-islands,2021,1,pincode,744202,12,17588.0
andaman-&-nicobar-islands,2021,1,pincode,744102,12,14085.0
andaman-&-nicobar-islands,2021,1,pincode,744104,9,7310.0
andaman-&-nicobar-islands,2021,1,pincode,744107,8,9253.0
andaman-&-nicobar-islands,2021,1,pincode,744205,7,11223.0
andaman-&-nicobar-islands,2021,1,pincode,744301,7,6612.0
andaman-&-nicobar-islands,2021,2,district,south andaman,105,121104.0
andaman-&-nicobar-islands,2021,2,district,north and middle andaman,28,45311.0
andaman-&-nicobar-islands,2021,2,district,nicobars,4,15089.0
andaman-&-nicobar-islands,2021,2,pincode,744103,36,33716.0
andaman-&-nicobar-islands,2021,2,pincode,744101,17,19787.0
andaman-&-nicobar-islands,2021,2,pincode,744105,15,17163.0
